***** Results of Analysis *****

Variables	VarBounds_0	VarBoundFraction
e0_K_LV_i1	0.752984815052 	0.752984815052
e0_h_V	1.0 	1.0
e0_p	solved 	solved
e0_x_i1	0.285865005666 	0.285865005666
e0_x_i2	0.285865005666 	0.285865005666
e0_K_LV_i2	0.164414153327 	0.164414153327
e0_x_F_i2	1.11022302463e-16 	1.11022302463e-16
e0_y_i1	0.571180555556 	0.571180555556
e0_y_i2	0.522443347507 	0.522443347507
e0_greek_alpha_L_i1	2.77555756156e-17 	2.77555756156e-17
e0_greek_alpha_L_i2	1.11022302463e-16 	1.11022302463e-16
e0_greek_gamma_L_i1	0.513208414006 	0.513208414006
e0_greek_gamma_L_i2	0.243905679031 	0.243905679031
e0_h_F	1.94025536378e-15 	1.94025536378e-15
e0_L	0.572073847311 	0.572073847311
e0_Q	1.0 	1.0
e0_V	0.56810806542 	0.56810806542
e0_HU_i1	0.732904410921 	0.732904410921
e0_HU_i2	0.704611281709 	0.704611281709
e0_HU_L	0.000478506088257 	0.000478506088257
e0_HU_V	0.0390625 	0.0390625
e0_U	0.0177433540227 	0.0177433540227
e0_V_L	9.21453821897e-07 	9.21453821897e-07
e0_V_V	0.00229381960938 	0.00229381960938
e0_V_total	1.73472347598e-17 	1.73472347598e-17
e0_A	3.46944695195e-17 	3.46944695195e-17
e0_r_DH	5.55111512313e-17 	5.55111512313e-17
e0_h_L	1.0 	1.0

VarboundSetFraction	 9.8598900482e-133	9.8598900482e-133
HypercubicLengthFraction	1.29087488344e-05 

Following Variables have been solved:
e0_p (VarBound_0)
